CARRIER,CARRIER_ENTITY,YEAR,MONTH,EXPENSE_TYPE,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,EXP_PILOT_COPILOT,EXP_FUEL_OIL,EXP_HULL_INS,EXP_THIRD_PARTY_LIAB_INS,EXP_PAX_LIAB_INS,EXP_MAINTENANCE,EXP_DEPRECIATION,FUEL_ISSUED,BLK_HOURS
2E,06971,2023,3,D,035,3,79986.00,65511.00,6985.00,2004.00,4906.00,77355.00,25000.00,7639.00,614.00
2E,06971,2023,3,T,999,9,79986.00,65511.00,6985.00,2004.00,4906.00,77355.00,25000.00,7639.00,614.00
2E,06971,2023,6,D,035,3,109448.00,90199.00,28528.00,8184.00,20038.00,81759.00,25000.00,9170.00,733.00
2E,06971,2023,6,T,999,9,109448.00,90199.00,28528.00,8184.00,20038.00,81759.00,25000.00,9170.00,733.00
2E,06971,2023,9,D,035,3,122936.00,79390.00,9713.00,2787.00,6822.00,70700.00,25000.00,9848.00,778.00
2E,06971,2023,9,T,999,9,122936.00,79390.00,9713.00,2787.00,6822.00,70700.00,25000.00,9848.00,778.00
2EQ,01199,2023,3,D,415,3,242986.00,347714.00,112122.00,3559.00,62290.00,496466.00,310800.00,59351.00,894.00
2EQ,01199,2023,3,T,999,9,242986.00,347714.00,112122.00,3559.00,62290.00,496466.00,310800.00,59351.00,894.00
2EQ,01199,2023,6,D,415,3,257769.00,348512.00,126321.00,4010.00,70178.00,468864.00,389350.00,73143.00,1224.00
2EQ,01199,2023,6,T,999,9,257769.00,348512.00,126321.00,4010.00,70178.00,468864.00,389350.00,73143.00,1224.00
2EQ,01199,2023,9,D,415,3,257769.00,482307.00,126321.00,4010.00,70178.00,608681.00,428625.00,122560.00,1589.00
2EQ,01199,2023,9,T,999,9,257769.00,482307.00,126321.00,4010.00,70178.00,608681.00,428625.00,122560.00,1589.00
2O,06981,2023,3,D,035,4,20822.00,6535.00,1171.00,186.00,434.00,56717.00,49074.00,756.00,42.00
2O,06981,2023,3,D,040,4,63775.00,34788.00,6230.00,807.00,1833.00,50363.00,82631.00,3952.00,152.00
2O,06981,2023,3,D,079,3,182935.00,80641.00,2045.00,754.00,1760.00,185120.00,16576.00,9180.00,540.00
2O,06981,2023,3,D,416,3,72422.00,37179.00,2330.00,202.00,471.00,40681.00,27486.00,7865.00,143.00
2O,06981,2023,3,T,999,9,339954.00,159143.00,11776.00,1949.00,4498.00,332881.00,175767.00,21753.00,877.00
2O,06981,2023,6,D,035,4,40688.00,31677.00,6575.00,1195.00,2630.00,28708.00,49074.00,3618.00,201.00
2O,06981,2023,6,D,040,4,123919.00,86087.00,32163.00,3866.00,9490.00,117233.00,92910.00,9802.00,377.00
2O,06981,2023,6,D,079,3,166292.00,116777.00,12851.00,5291.00,11606.00,108464.00,16576.00,13277.00,781.00
2O,06981,2023,6,D,416,3,63816.00,52742.00,14995.00,1339.00,3152.00,39620.00,27486.00,11495.00,209.00
2O,06981,2023,6,T,999,9,394715.00,287283.00,66584.00,11691.00,26878.00,294025.00,186046.00,38192.00,1568.00
2O,06981,2023,9,D,035,4,19327.00,52475.00,9118.00,1826.00,3863.00,49664.00,50674.00,5886.00,327.00
2O,06981,2023,9,D,040,4,146376.00,147732.00,47035.00,5652.00,13614.00,267446.00,96510.00,16458.00,633.00
2O,06981,2023,9,D,079,3,209862.00,190062.00,19345.00,8512.00,18013.00,162628.00,18976.00,21233.00,1249.00
2O,06981,2023,9,D,416,3,29397.00,87073.00,22924.00,2086.00,4934.00,96214.00,28786.00,18590.00,338.00
2O,06981,2023,9,T,999,9,404962.00,477342.00,98422.00,18076.00,40424.00,575952.00,194946.00,62167.00,2547.00
3AQ,01230,2023,3,D,079,1,40444.00,11688.00,1326.00,202.00,1528.00,83867.00,46835.00,2009.00,46.00
3AQ,01230,2023,3,D,362,1,85342.00,24664.00,15443.00,3574.00,7550.00,176972.00,24310.00,4239.00,98.00
3AQ,01230,2023,3,D,364,1,256551.00,74144.00,61407.00,9600.00,16227.00,532003.00,129355.00,12743.00,294.00
3AQ,01230,2023,3,D,366,1,384696.00,111178.00,148831.00,15276.00,23228.00,797734.00,42393.00,19109.00,440.00
3AQ,01230,2023,3,D,370,1,21576.00,6235.00,13119.00,3006.00,5657.00,44741.00,0.00,1072.00,25.00
3AQ,01230,2023,3,T,999,9,788609.00,227909.00,240126.00,31658.00,54190.00,1635317.00,242893.00,39172.00,903.00
4W,06967,2023,3,D,194,1,175308.00,311791.00,20411.00,5587.00,61233.00,698599.00,6500.00,36848.00,1031.00
4W,06967,2023,3,T,999,9,175308.00,311791.00,20411.00,5587.00,61233.00,698599.00,6500.00,36848.00,1031.00
4W,06967,2023,6,D,194,1,187506.00,450468.00,26302.00,5587.00,78906.00,587187.00,128470.00,59717.00,1691.00
4W,06967,2023,6,T,999,9,187506.00,450468.00,26302.00,5587.00,78906.00,587187.00,128470.00,59717.00,1691.00
4W,06967,2023,9,D,194,1,314789.00,639307.00,30882.00,5587.00,92647.00,553280.00,179350.00,87451.00,2359.00
4W,06967,2023,9,T,999,9,314789.00,639307.00,30882.00,5587.00,92647.00,553280.00,179350.00,87451.00,2359.00
7H,06989,2023,3,D,483,1,1764898.00,2068978.00,311212.00,0.00,495988.00,5223797.00,2444283.00,472537.00,3245.00
7H,06989,2023,3,D,484,1,79044.00,92662.00,13938.00,0.00,22214.00,233956.00,109471.00,23950.00,332.00
7H,06989,2023,3,T,999,9,1843942.00,2161640.00,325150.00,0.00,518202.00,5457753.00,2553754.00,496487.00,3577.00
7H,06989,2023,6,D,405,1,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
7H,06989,2023,6,D,405,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7H,06989,2023,6,D,483,1,2153457.00,2238599.00,322564.00,0.00,513974.00,5708323.00,2419721.00,648853.00,3653.00
7H,06989,2023,6,D,484,1,7340.00,7630.00,1099.00,0.00,1752.00,19456.00,8247.00,2224.00,12.00
7H,06989,2023,6,T,999,9,2160797.00,2246229.00,323663.00,0.00,515727.00,5727779.00,2427968.00,651077.00,3665.00
7H,06989,2023,9,D,483,1,2213804.00,2558187.00,323664.00,0.00,518201.00,5497066.00,3473947.00,598764.00,3737.00
7H,06989,2023,9,D,622,1,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,159.00
7H,06989,2023,9,T,999,9,2213804.00,2558187.00,323664.00,0.00,518202.00,5497066.00,3473947.00,598764.00,3896.00
7S,06995,2023,3,D,035,1,47102.00,105904.00,12297.00,38293.00,3732.00,137466.00,486.00,12376.00,728.00
7S,06995,2023,3,D,035,2,4859.00,10512.00,1268.00,172921.00,0.00,14181.00,5347.00,1277.00,75.00
7S,06995,2023,3,D,412,2,834111.00,767357.00,68845.00,105525.00,0.00,1137624.00,407752.00,133850.00,1339.00
7S,06995,2023,3,D,416,1,68837.00,340663.00,11156.00,21121.00,2799.00,71540.00,65074.00,46669.00,667.00
7S,06995,2023,3,D,416,2,268.00,1148.00,44.00,82.00,0.00,279.00,254.00,182.00,3.00
7S,06995,2023,3,D,459,2,43715.00,224288.00,17378.00,42243.00,0.00,308399.00,40682.00,32090.00,218.00
7S,06995,2023,3,D,479,1,25973.00,90317.00,9014.00,21121.00,933.00,43790.00,65328.00,13689.00,211.00
7S,06995,2023,3,T,999,9,1024865.00,1540189.00,120002.00,401306.00,7464.00,1713279.00,584923.00,240133.00,3241.00
7S,06995,2023,6,D,035,1,90101.00,189894.00,12743.00,39684.00,3732.00,135522.00,486.00,23674.00,1393.00
7S,06995,2023,6,D,035,2,5810.00,11326.00,822.00,171530.00,0.00,8739.00,5347.00,1527.00,90.00
7S,06995,2023,6,D,412,2,782863.00,627287.00,68845.00,105607.00,0.00,1142567.00,420548.00,133070.00,1331.00
7S,06995,2023,6,D,416,1,84882.00,381515.00,11199.00,21121.00,2799.00,121694.00,65328.00,57547.00,822.00
7S,06995,2023,6,D,459,2,43174.00,193851.00,17378.00,42243.00,0.00,235387.00,40682.00,31693.00,216.00
7S,06995,2023,6,D,479,1,18894.00,56612.00,9014.00,21121.00,933.00,84522.00,65328.00,9958.00,153.00
7S,06995,2023,6,T,999,9,1025724.00,1460485.00,120001.00,401306.00,7464.00,1728431.00,597719.00,257469.00,4005.00
7S,06995,2023,9,D,035,1,81056.00,164349.00,12967.00,40380.00,3732.00,193431.00,486.00,21298.00,1253.00
7S,06995,2023,9,D,035,2,3740.00,7040.00,598.00,170834.00,0.00,8924.00,5347.00,983.00,58.00
7S,06995,2023,9,D,412,2,795128.00,606981.00,68845.00,105607.00,0.00,875262.00,420548.00,134690.00,1347.00
7S,06995,2023,9,D,416,1,80587.00,345928.00,11199.00,21121.00,2799.00,85740.00,65328.00,54635.00,781.00
7S,06995,2023,9,D,459,2,49882.00,218767.00,17378.00,42243.00,0.00,305685.00,40682.00,36618.00,249.00
7S,06995,2023,9,D,479,1,17982.00,51519.00,9014.00,21121.00,933.00,59974.00,65328.00,9477.00,146.00
